Electrique
Cube
Cueillir
Cuillère
Cuire
Cuisine
Cuisiner
Cuisinière
Cuisse
Cuit
Cygne
Calin
Caliner
Céréale
Cité
Coeur
Danger
Dangereux
Danse
Danser
Danser
Dauphin
Dent
Dentifrice
Dentiste
Descendre
Dessert
Devin
Devoir
Dimanche
Dindon
Dinosaure
Disque
Docteur
Doigts
Dos
Douane
Douche
Douillet
Drap
Drapeau
Drole
Début
Défense
Défiler
Déguisement
Déguiser
Déjeuner
Délicieux
Déménager
Départ
Dépasser
Déranger
Désordre
Détester
Déçu
Diner
Dinette
Eau
Ecole
Effrayé
Embouteillage
Empreinte
Empêcher
Enceinte
Endive
Endroit
Enfermer
Engrenage
Entendre
Enterrer
Enveloppe
Envie
Escabeau
Escalader
Escargot
Espagne
Espion
Essayer
Essence
Europe
Evier
Facteur
Faim
Boire
Peur
Falloir
Farce
Farine
Fauteuil
Femme
Fer à repasser
Ferme
Fermier
Fesse
Feuille
Feutre
Figure
Filet
Fils
Fin
Fixation
Fièvre
Flamme
Flaque
Flechette
Fleur
Fleuriste
Flocon
Foin
Foire
Fond
Fondue
Fontaine
Fort
Forêt
Fossile
Fou
Foudre
Fouet
Four
Fourchette
Fourmi
Fraise
Framboise
Frange
Frein
Frite
Froid
Fromage
Front
Frotter
Frotter
Fruit
Frère
Fumer
Fumée
Fève
Fête
Gagner
Galette
Galoper
Garage
Garer
Gauche
Geler
Gelé
Gendarme
Genou
Gens
Girafe
Glace
Glisser
Gobelet
Gorge
Gourde
Goutte
Gouvernement
Goût
Grain
Graine
Grand-mère
Grand-parent
Grand-père
Grandir
Grange
Gratter
Grenouille
Griffe
Griffer
Grignoter
Griller
Grimace
Grimper
Grotte
Groupé
Guetter
Guirlande
Guêrir
Guèpe
Gymnastique
Gâteau
Gâteau
Géner
Habiter
Hamac
Hamster
Hanche
Haricot
Harpe
Herbe
Heure
Heureux
Hibou
Hippopotame
Hirondelle
Histoire
Hiver
Homme
Horloge
Horoscope
Houx
Huile
Humeur
Humide
Hurler
Hérisson
Hésiter
Hôpital
Hôtel
Hôte
Image
Immense
Immeuble
Immobile
Important
Impossible
Impot
Incendie
Infini
Infirmier
Infirmière
Infraction
Insecte
Instable
Installer
Invisible
Invitation
Inviter
Jambe
Jambes
Jambon
Japon
Jardin
Jardiner
Jeter
Jeu
Jeudi
Jeune
Joie
Jongler
Jonquille
Joue
Jour
Journaux
Journée
Joyeux
Jumeau
Jumelle
Jumelles
Kangourou
Kremlin
Lac
Laisse
Lait
Lampe
Lancer
Langue
Lapin
Larme
Lave-linge
Leger
Lent
Lessive
Lever
Lion
Liquide
Lit
Lobotomie
Loto
Louche
Loup
Loupe
Lourd
Luge
Lumière
Lundi
Lune
Lutin
Lâcher
Lèvres
Lécher
Léger
Légume
Lézard
Machine
Magasin
Magazine
Magie
Maigre
Mains
Maison
Malade
Maman
Manger
Manège
Maquillage
Maquiller
Marchand
Marchand
Marche
Marche
Marcher
Marcher
Marcher sur
Mardi
Mare
Marguerite
Mari
Mariage
Marin
Marron
Marteau
Masque
Matin
Medecine
Melon
Menton
Mer
Mercredi
Messager
Midi
Mie
Miel
Milieu
Mine
Mine
Minuit
Minute
Mixer
Moineau
Mois
Moitié
Moment
Monde
Monnaie
Monsieur
Montagne
Montagne
Monter
Montre
Montrer
Monument
Mordre
Mort
Mort
Mortel
Mouche
Mouette
Mouette
Moule
Mourir
Moustache
Moustique
Mouton
Muguet
Mur d'escalade
Murmure
Muscle
Musique
Mère
Méchant
Médecin
Médicament
Ménage
Mur
Mure
Nager
Nain
Nappe
Navet
Navire
Naître
Neige
Neige
Neiger
Nettoyer
Nez
Nid
Noel
Noisette
Noix
Nourrir
Nourriture
Noël
Nuage
Nuageux
Nuit
Nuit
Numéro
Né
Oasis
Odeur
Oeuf
Offrir
Ogre
Oie
Oignon
Oiseau
Ombre
Ongle
Ongle
Or
Orage
Orange
Orange
Orbite
Ordonnance
Ordure
Oreille
Oreiller
Organe
Os
Oublier
Ouragan
Ours
Ours
Ouvrier
Page
Paille
Pain
Paix
Palais
Palier
Panda
Panier
Panneau
Pansement
Panthère
Papa
Papillon
Paquet
Parachute
Parapluie
Parasol
Parc
Parcours
Pardon
Parent
Parfum
Parfum
Part
Partie
Pas
Passage
Passer
Passerelle
Patauger
Patient
Patient
Patte
Payer
Pays
Paysage
Peau
Peigne
Pelle
Pendule
Pendule
Penis
Penser
Pente
Perdre
Perroquet
Persil
Peser
Petit pois
Petit-enfant
Petit-fils
Petite-fille
Peur
Pharmacie
Pharmacien
Phoque
Photo
Photographier
Photographier
Physique
Pieds
Pierre
Pigeon
Pile
Pin
Pique-niquer
Piquer
Piqure
Piscine
Pièce
Place
Plage
Plaire
Plante
Planter
Plat
Plateau
Plein
Pleurer
Pleuvoir
Pleuvoir
Plomb
Plongeoir
Plume
Plume
Pluvieux
Podium
Poids
Poignet
Poing
Poire
Poireau
Poison
Poisson
Poisson
Police
Police
Policier
Polo
Pomme
Pompe
Pompier
Poney
Pont de singe
Port
Port
Portière
Poser
Poste
Poster
Potin
Pouf
Poule
Poulet
Poupée
Poursuivre
Poursuivre
Poussette
Poussin
Poussière
Poêle
Prairie
Princesse
Princesse
Prise
Prises
Prix
Profond
Promenade
Protéger
Prudent
Prune
Préau
Préférer
Prêt
Pubien
Purée
Pyramide
Pâle
Pâquerette
Pâte
Pâtes
Pâtisserie
Père
Pédale
Pédaler
Pêche
Pêcheur
Quartier
Queue
Queue
Radiateur
Radio
Radis
Raisin
Ramasser
Ramasser
Ramer
Ramper
Rangée
Rap
Rapide
Raquette
Rasoir
Rat
Rat
Rater
Rayon
Rayon
Recette
Reconnaître
Recoudre
Regard
Regarder
Remercier
Remplacer
Remuer
Renard
Rencontrer
Rencontrer
Rendre
Repas
Repasser
Requin
Respirer
Respirer
Ressembler
Restaurant
Restaurant
Retard
Retour
Retourner
Retrouver
Reunion
Revenir
Revoir
Revoir
Rhinocéros
Riche
Rire
Rivière
Riz
Rocher
Rond
Ronfler
Ronger
Rose
Rosé
Rotule
Roue
Roulade
Rouleau
Route
Route
Royaume
Ruche
Rue
Râteau
Récréation
Réfrigérateur
Réveil
Rêver
Rêver
Sable
Sable
Sablier
Sac
Saigner
Saint
Saison
Salade
Saluer
Samedi
Sang
Sang
Santé
Sapin
Sardine
Saumon
Saut
Sauter
Sauter
Savoir
Scuplteur
Se bagarrer
Se baigner
Se baisser
Se balancer
Se battre
Se blesser
Se blottir
Se bruler
Se cacher
Se cogner
Se coiffer
Se croiser
Se disputer
Se doucher
Se dégonfler
Se détester
Se faner
Se gratter
Se laver
Se maquiller
Se marier
Se moquer
Se moucher
Se mouiller
Se mouiller
Se noyer
Se pencher
Se percher
Se percher
Se perdre
Se plaindre
Se promener
Se protéger
Se rappeler
Se raser
Se reposer
Se retourner
Se régaler
Se salir
Se sauver
Se serrer
Se servir
Se sécher
Se toucher
Se tromper
Se trouver
Secouer
Sel
Semaine
Sentir
Serpent
Serré
Serviette
Seul
Sexuel
Shampoing
Siamois
Siffler
Siffler
Sifflet
Signe
Singe
Sirene
Ski
Soif
Soigner
Soir
Sole
Soleil
Soleil
Sombre
Sommet
Sondage
Souffrir
Souhaiter
Soulever
Souple
Sourcil
Sourcil
Souris
Souris
Spectacle
Spectre
Sport
Square
Squelette
Sucer
Sucre
Suivant
Suivre
Suivre
Surface
Surprise
Surveiller
S'abriter
S'accrocher
S'agiter
S'allonger
S'appeler
S'appuyer
S'embrasser
S'envoler
S'imaginer
S'occuper de
S'ouvrir
S'échapper
S'éloigner
Sur
Tableau
Tablette
Talisman
Taper
Taper sur
Tapisserie
Tarte
Tartine
Tas
Tas
Taupe
Temps
Tempête
Tente
Terrain
Terrasse
Terre
Terrible
Terrier
Test
Texte
Thermomètre
Thon
Thé
Ticket
Tige
Tigre
Timbre
Tintin
Toboggan
Toit
Toit
Tomate
Tomber
Tonnerre
Torchon
Torsion
Tortue
Touche
Tour
Tour
Tousser
Tout
Tracteur
Tracteur
Traction
Trafic
Trafic
Train
Traire
Trampoline
Tranche
Transpirer
Transpirer
Travaux
Traverser
Traverser
Traîneau
Traîner
Trembler
Tremper
Tricoter
Tricycle
Triste
Trottoir
Trou
Troupeau
Trousse
Trouver
Trouver
Trudeau
Truite
Trésor
Tube
Tuer
Tuile
Tulipe
Tunnel
Tuyau
Tâter
Téléphoner
Téter
Tête
Univers
Usine
Utile
Vacances
Vache
Vague
Vaisselle
Vase
Vendre
Vendredi
Venin
Vent
Venter
Ventre
Ver
Viande
Viande
Vide
Vide
Vieux
Village
Villageois
Ville
Vin
Violon
Violon
Vipère
Visage
Visiter
Vivant
Vivre
Vivre
Voile
Voile
Voir
Voisin
Volet
Volume
Voyager
Vulve
Vélo
Vétérinaire
Yaourt
Yeux
Zoo
Zèbre
Âge
Âne
Ecarter
Echasse
Echasses
Echelle
Eclair
Eclater
Ecorce
Ecran
Ecureuil
Eglise
Elever
Eléphant
Enorme
Epais
Epaule
Epingle
Eponge
Equipe
Etaler
Etang
Eteindre
Eternuer
Etoile
Eté
Evier
Aile
Ail
